customerID,tenure,Contract,InternetService,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies
7590-VHVEG,1,Month-to-month,DSL,No,No phone service,No,Yes,No,No,No,No
5575-GNVDE,34,One year,DSL,Yes,No,Yes,No,Yes,No,No,No
3668-QPYBK,2,Month-to-month,DSL,Yes,No,Yes,Yes,No,No,No,No
7795-CFOCW,45,One year,DSL,No,No phone service,Yes,No,Yes,Yes,No,No
9237-HQITU,2,Month-to-month,Fiber optic,Yes,No,No,No,No,No,No,No
9305-CDSKC,8,Month-to-month,Fiber optic,Yes,Yes,No,No,Yes,No,Yes,Yes
1452-KIOVK,22,Month-to-month,Fiber optic,Yes,Yes,No,Yes,No,No,Yes,No
6713-OKOMC,10,Month-to-month,DSL,No,No phone service,Yes,No,No,No,No,No
7892-POOKP,28,Month-to-month,Fiber optic,Yes,Yes,No,No,Yes,Yes,Yes,Yes
6388-TABGU,62,One year,DSL,Yes,No,Yes,Yes,No,No,No,No
9763-GRSKD,13,Month-to-month,DSL,Yes,No,Yes,No,No,No,No,No
7469-LKBCI,16,Two year,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8091-TTVAX,58,One year,Fiber optic,Yes,Yes,No,No,Yes,No,Yes,Yes
0280-XJGEX,49,Month-to-month,Fiber optic,Yes,Yes,No,Yes,Yes,No,Yes,Yes
5129-JLPIS,25,Month-to-month,Fiber optic,Yes,No,Yes,No,Yes,Yes,Yes,Yes
3655-SNQYZ,69,Two year,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
8191-XWSZG,52,One year,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9959-WOFKT,71,Two year,Fiber optic,Yes,Yes,Yes,No,Yes,No,Yes,Yes
4190-MFLUW,10,Month-to-month,DSL,Yes,No,No,No,Yes,Yes,No,No
4183-MYFRB,21,Month-to-month,Fiber optic,Yes,No,No,Yes,Yes,No,No,Yes
8779-QRDMV,1,Month-to-month,DSL,No,No phone service,No,No,Yes,No,No,Yes
1680-VDCWW,12,One year,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1066-JKSGK,1,Month-to-month,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3638-WEABW,58,Two year,DSL,Yes,Yes,No,Yes,No,Yes,No,No
6322-HRPFA,49,Month-to-month,DSL,Yes,No,Yes,Yes,No,Yes,No,No
6865-JZNKO,30,Month-to-month,DSL,Yes,No,Yes,Yes,No,No,No,No
6467-CHFZW,47,Month-to-month,Fiber optic,Yes,Yes,No,Yes,No,No,Yes,Yes
8665-UTDHZ,1,Month-to-month,DSL,No,No phone service,No,Yes,No,No,No,No
5248-YGIJN,72,Two year,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
8773-HHUOZ,17,Month-to-month,DSL,Yes,No,No,No,No,No,Yes,Yes
3841-NFECX,71,Two year,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,No,No
4929-XIHVW,2,Month-to-month,Fiber optic,Yes,No,No,No,Yes,No,Yes,Yes
6827-IEAUQ,27,One year,DSL,Yes,No,Yes,Yes,Yes,Yes,No,No
7310-EGVHZ,1,Month-to-month,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3413-BMNZE,1,Month-to-month,DSL,Yes,No,No,No,No,No,No,No
6234-RAAPL,72,Two year,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Yes,No
6047-YHPVI,5,Month-to-month,Fiber optic,Yes,No,No,No,No,No,No,No
6572-ADKRS,46,Month-to-month,Fiber optic,Yes,No,No,No,Yes,No,No,No
5380-WJKOV,34,Month-to-month,Fiber optic,Yes,Yes,No,Yes,Yes,No,Yes,Yes
8168-UQWWF,11,Month-to-month,Fiber optic,Yes,Yes,No,No,Yes,No,Yes,Yes
